place_id	struct_idx	sub_idx	county	phillimore	area	hundred	std_hundred	vill	std_vill	grid	m_type	holding	units	waste_86	places_idx	phillimore_with_new_yks	county_name	country
10	1	1	KEN	D1	Eastry	Bewsbury	Bewsbury	Dover	Dover	TR3241	U		-	N	20841	D1		UK
20	2	1	KEN	D2	Eastry	Bewsbury	Bewsbury	Dover	Dover	TR3241	U		-	N	20841	D2		UK
70	7	1	KEN	D7	Eastry	Bewsbury	Bewsbury	Dover	Dover	TR3241	U		-	N	20841	D7		UK
100	10	1	KEN	D10	Eastry	Bewsbury	Bewsbury	Dover	Dover	TR3241	U		-	N	20841	D10		UK
270	27	1	KEN	M1	-	Canterbury	Canterbury	Canterbury	Canterbury	TR1557	-	0.16	adjusted	N	12946	M1		UK
280	28	1	KEN	M2	Eastry	Bewsbury	Bewsbury	Charlton	Charlton	TR3142	M	1	geld	N	14131	M2		UK
290	29	1	KEN	M3	Eastry	Bewsbury	Bewsbury	Charlton	Charlton	TR3142	X	1	geld	N	14131	M3		UK
300	30	1	KEN	M4	Eastry	Bewsbury	Bewsbury	Buckland	Buckland	TR3042	X	1	geld	N	11081	M4		UK
310	31	1	KEN	M5	Eastry	Bewsbury	Bewsbury	Guston	Guston	TR3244	X	0.45	geld	N	28161	M5		UK
320	32	1	KEN	M6	Eastry	Bewsbury	Bewsbury	St Margaret's [at Cliffe]	St Margarets at Cliffe	TR3544	X	1	geld	N	53446	M6		UK
330	33	1	KEN	M7	Eastry	Bewsbury	Bewsbury	St Margaret's [at Cliffe]	St Margarets at Cliffe	TR3544	X	1	geld	N	53446	M7		UK
340	34	1	KEN	M8	Eastry	Bewsbury	Bewsbury	St Margaret's [at Cliffe]	St Margarets at Cliffe	TR3544	X	1	geld	N	53446	M8		UK
350	35	1	KEN	M9	Eastry	Bewsbury	Bewsbury	St Margaret's [at Cliffe]	St Margarets at Cliffe	TR3544	X	1	geld	N	53446	M9		UK
360	36	1	KEN	M10	Eastry	Bewsbury	Bewsbury	St Margaret's [at Cliffe]	St Margarets at Cliffe	TR3544	X	1	geld	N	53446	M10		UK
370	37	1	KEN	M11	Eastry	`Cornilo'	Cornilo	-	-		-	0.5	geld	N		M11		UK
380	37	2	KEN	M11	Eastry	Bewsbury	Bewsbury	St Margaret's [at Cliffe]	St Margarets at Cliffe	TR3544	X	0.5	geld	N	53446	M11		UK
390	38	1	KEN	M12	Eastry	Bewsbury	Bewsbury	St Margaret's [at Cliffe]	St Margarets at Cliffe	TR3544	X	0.7	geld	N	53446	M12		UK
400	39	1	KEN	M13	Eastry	`Cornilo'	Cornilo	-	-		-	0.7	geld	N		M13		UK
410	40	1	KEN	M14	Eastry	`Cornilo'	Cornilo	Deal	Deal	TR3752	X	1.41	geld	N	19741	M14		UK
415	40	2	KEN	M14	Eastry	Bewsbury	Bewsbury	St Margaret's [at Cliffe]	St Margarets at Cliffe	TR3544	D	0.41	geld	N	53446	M14		UK
420	41	2	KEN	M15	Eastry	`Cornilo'	Cornilo	Deal	Deal	TR3752	X	0.4	geld	N	19741	M15		UK
430	41	1	KEN	M15	Eastry	Bewsbury	Bewsbury	Sibertswold	Sibertswold	TR2647	X	0.6	geld	N	56006	M15		UK
440	42	1	KEN	M16	Eastry	Bewsbury	Bewsbury	Sibertswold	Sibertswold	TR2647	X	1	geld	N	56006	M16		UK
