struct_idx	county	phillimore	cobs_1086	cobs_1066	cattle_1086	cattle_1066	cows_1086	cows_1066	pigs_1086	pigs_1066	sheep_1086	sheep_1066	goats_1086	goats_1066	beehives_1086	beehives_1066	wild_mares_1086	wild_mares_1066	other_1086	other_code_1086	other_1066	other_code_1066
3903	SOM	"14,1"	1				7				40											
3905	SOM	"15,1"	2		9						50											
3907	SOM	"16,1"	1		3				30		228											
3909	SOM	"16,3"					3		9										10	wethers		
3911	SOM	"16,5"			8				11		50											
3912	SOM	"16,6"	1																			
3914	SOM	"16,8"			4				5		5											
3915	SOM	"16,9"			2				6													
3918	SOM	"16,12"			4				4		11											
3922	SOM	"17,1"							2		35											
3924	SOM	"17,3"			6				5													
3925	SOM	"17,4"			3				3													
4276	SOM	"31,3"	1		2				1		30											
4280	SOM	"32,1"			5						50											
4281	SOM	"32,2"	1		6				6		100		50									
4282	SOM	"32,3"	1		2				4		60		
4283	SOM	"32,4"	1						1		60		
4287	SOM	"32,8"			12				6		16		
4292	SOM	"34,1"	2						12		100		30
4294	SOM	"35,1"							4				
4295	SOM	"35,2"					1		2				
4296	SOM	"35,3"			8						60		
4297	SOM	"35,4"			8				15		193		
4298	SOM	"35,5"							16		54		14
4299	SOM	"35,6"			4				11		45		
4303	SOM	"35,10"	1				1		12		30		
4304	SOM	"35,11"			9				7		90		
4305	SOM	"35,12"							8		20		
4309	SOM	"35,16"							8		24		
4310	SOM	"35,17"	1				1				60		
4311	SOM	"35,18"			7				5		48		
4313	SOM	"35,20"			4						31		12
4315	SOM	"35,22"			6				14				
4316	SOM	"35,23"	1		8						108		31
4319	SOM	"36,1"	1		12				60		104		
4320	SOM	"36,2"			12				10		35		
4321	SOM	"36,3"					3		12		30		
4323	SOM	"36,5"	2		31				69		42		
4325	SOM	"36,7"									50		
4326	SOM	"36,8"			3				8		40		
4327	SOM	"36,9"			4				20		80		
4328	SOM	"36,10"			17				20		80		
4329	SOM	"36,11"	5		6				27		86		
4330	SOM	"36,12"			7				8		14		
4331	SOM	"36,13"	1		11				36		212		
4334	SOM	"37,1"			3				13		50		60
4335	SOM	"37,2"			8				25		100		
4336	SOM	"37,3"			13				12		27		20
4338	SOM	"37,5"	1		14				11		14		
4339	SOM	"37,6"	1		19				16		55		
4340	SOM	"37,7"			14				15		137		
4341	SOM	"37,8"	1		16				13		30		
4343	SOM	"37,10"			18				17		17		39
4345	SOM	"37,12"			3				8		36		
4349	SOM	"39,1"	1		8				25				
3744	SOM	"5,13"			30				18		136		60
3745	SOM	"5,14"	1		12				26		176		
3746	SOM	"5,15"	1		14				20		100		
3747	SOM	"5,16"	1		9				18		147		
3748	SOM	"5,17"	1		4								
3749	SOM	"5,18"	1		35				14		283		
3753	SOM	"5,22"	1		8				7		67		24
3754	SOM	"5,23"	1						13		120		
3755	SOM	"5,24"	2		12				20		200		
3756	SOM	"5,25"			8				10				60
3757	SOM	"5,26"									100		
3758	SOM	"5,27"	1		16				40				50
3759	SOM	"5,28"					4		5		100		50
3761	SOM	"5,30"							23				
3762	SOM	"5,31"	1		6				2		124		
3763	SOM	"5,32"	2		27				14		152		50
3764	SOM	"5,33"	2		15				18		216		
3765	SOM	"5,34"	5		41				66		143		64
3766	SOM	"5,35"	2		8				15		44		
3767	SOM	"5,36"			17				4		194		
3768	SOM	"5,37"	3						28		356		33
3770	SOM	"5,39"	1		16				14		120		
3771	SOM	"5,40"	2		24				19		172		
3772	SOM	"5,41"							5		60		
3773	SOM	"5,42"			20				29		177		
3774	SOM	"5,43"	1		10				21		317		43
3775	SOM	"5,44"	2		9				24		137		
3776	SOM	"5,45"	2		11				17		200		
3777	SOM	"5,46"	2		6				18		200		
3778	SOM	"5,47"	1		5				22		210		
3779	SOM	"5,48"	1		6				28		26		
3780	SOM	"5,49"	2		1				13		200		
3781	SOM	"5,50"			2				9		30		
3782	SOM	"5,51"	2		4				16		220		
3783	SOM	"5,52"	3										14
3784	SOM	"5,53"			7				25		160		53
3786	SOM	"5,55"			2				13		26		18
3787	SOM	"5,56"	1		5				15		200		
3788	SOM	"5,57"	2		12				40		93		
3789	SOM	"5,58"	2		7				7		100		
3790	SOM	"5,59"	1				1		6											
3791	SOM	"5,60"			5				4				24							
3792	SOM	"5,61"	1		23				25										158	wethers
3793	SOM	"5,62"	2		24				35		220									
3794	SOM	"5,63"			20				31		120									
3796	SOM	"5,65"	1								17									
3797	SOM	"5,66"			6				2		83									
3798	SOM	"5,67"			4				21		30		11							
3799	SOM	"5,68"			4				1											
3800	SOM	"5,69"							2		66									
3801	SOM	"5,70"	2		6				20		140									
3803	SOM	"6,1"	4		34				40		250		24							
3804	SOM	"6,2"	1		12				18		315									
3805	SOM	"6,3"	1		2				4		30									
3806	SOM	"6,4"	1		13				20		300		24							
3807	SOM	"6,5"	1																	
3808	SOM	"6,6"	1		15				12		70		36
3809	SOM	"6,7"	1		17				3		110		
3810	SOM	"6,8"	1		10				20		150		
3811	SOM	"6,9"			15				15		30		20
3812	SOM	"6,10"	1		25				30		200		
3813	SOM	"6,11"	1		10				18		200		
3814	SOM	"6,12"	2		13				13		270		
3815	SOM	"6,13"	1		9				36		148		46
3816	SOM	"6,14"			11				15				
3817	SOM	"6,15"			17				3				
3818	SOM	"6,16"							12				
3819	SOM	"6,17"			13								40
3824	SOM	"7,2"	1										
3825	SOM	"7,3"	1								50		
3826	SOM	"7,4"	1								300		
3827	SOM	"7,5"	1								200		
3828	SOM	"7,6"	1		12				8		112									
3829	SOM	"7,7"	1						12		72									
3830	SOM	"7,8"	1								200									
3831	SOM	"7,9"	1						8		180									
3832	SOM	"7,10"									250									
3835	SOM	"7,13"	1						6		62									
3839	SOM	"8,1"	6		71				24		20		50							
3840	SOM	"8,2"					8		16		30		31							
3841	SOM	"8,3"	1								3									
3842	SOM	"8,4"	1		6				13		160									
3843	SOM	"8,5"	2		34				44		251								13	horses
3844	SOM	"8,6"			17				18		50									
3845	SOM	"8,7"	1		6				26		26									
3215	DOR	"12,14"			4				7				20							
3216	DOR	"12,15"			5															
3217	DOR	"12,16"			12				2		65									
3219	DOR	"13,1"	4		23				30		600		
3220	DOR	"13,2"	2		10				20		300		
3221	DOR	"13,3"	3		8				20		406		25
3222	DOR	"13,4"	3		13				20		250		
3223	DOR	"13,5"									100		
3224	DOR	"13,6"	1		4						100		20
3226	DOR	"13,8"	1		2						20		
3232	DOR	"16,1"			9				13		260		
3233	DOR	"16,2"							7				
3406	DOR	"36,1"	1		8				12		100		
3407	DOR	"36,2"	2		5				30		166		
3408	DOR	"36,3"			4				4		10		
3409	DOR	"36,4"	2		6				24		170		15
3410	DOR	"36,5"	2		14				24		67		
3412	DOR	"36,7"	1						6		80		
3413	DOR	"36,8"							6				
3414	DOR	"36,9"	1		6						282									
3415	DOR	"36,10"	1		10				3		10									
3416	DOR	"36,11"	2		14				16				30						47	wethers
3449	DOR	"41,1"	2		10				8		50									
3450	DOR	"41,2"	1		11						57									
3451	DOR	"41,3"	1		5															
3452	DOR	"41,4"	2		5				5											
4350	SOM	"39,2"	1		15				16				30							
4351	SOM	"39,3"					1				150									
4353	SOM	"40,1"	3		40				90		200		60							
4354	SOM	"40,2"	2		20				28		240									
4356	SOM	"41,1"	6		8				16		250									
4357	SOM	"41,2"			2				1		3									
4358	SOM	"41,3"	1		20				50		300									
4360	SOM	"42,1"			18				30		18		15							
4361	SOM	"42,2"			5				14											
4366	SOM	"44,1"	1		22				25		115		
4367	SOM	"44,2"							6				
4368	SOM	"44,3"	1		10				18		160		40
4370	SOM	"45,1"			12						100		
4373	SOM	"45,3"	2										
4374	SOM	"45,4"	1				2		12		12		
4375	SOM	"45,5"	2				2		13		150		
4376	SOM	"45,6"							4		56		
4377	SOM	"45,7"	1								100		
4378	SOM	"45,8"									89		
4379	SOM	"45,9"									100		
4381	SOM	"45,11"	1		4				29		120		20
4382	SOM	"45,12"							26				
4383	SOM	"45,13"	2		20				15		28		
4385	SOM	"45,15"	1										
4386	SOM	"45,16"			2				2				
4387	SOM	"45,17"							1				
4388	SOM	"45,18"	1		5						80		
4390	SOM	"46,1"			4						15		
4393	SOM	"46,4"	1		18				3		17		
4394	SOM	"46,5"					3				40		
4397	SOM	"46,8"									10		10
4398	SOM	"46,9"			4				1		40		24
4399	SOM	"46,10"					2						
4400	SOM	"46,11"							4				
4401	SOM	"46,12"					3						
4405	SOM	"46,16"					1		25		10		
4410	SOM	"46,21"			5				4				
4411	SOM	"46,22"	1		9						45		
4412	SOM	"46,23"									15		
4417	SOM	"47,2"	1		2				10		120		
4418	SOM	"47,3"	1		7				10		150		
4419	SOM	"47,4"									50		
4420	SOM	"47,5"			3				1				
4421	SOM	"47,6"	1										
4422	SOM	"47,7"			6						10		20
4423	SOM	"47,8"	1						28		71		
4426	SOM	"47,11"			7				13		62		
4428	SOM	"47,13"			4						30		40
4429	SOM	"47,14"	1		6				5		17		
4431	SOM	"47,16"			2				2		8		
4432	SOM	"47,17"	1		8				7				
4433	SOM	"47,18"	1						8		60		
4434	SOM	"47,19"			2				8		12		
4435	SOM	"47,20"	1		3				7		126		
4436	SOM	"47,21"	2		20				25		60		25
4228	SOM	"25,33"	1						12		72		
4229	SOM	"25,34"	1		4				3		100		
4231	SOM	"25,36"	1										
4232	SOM	"25,37"			14				2		88		
4233	SOM	"25,38"							9		4		64
4234	SOM	"25,39"			5				3		20		20
4235	SOM	"25,40"			9						80		32
4236	SOM	"25,41"							3		30		
4237	SOM	"25,42"											11
4238	SOM	"25,43"			3				3		50		50
4239	SOM	"25,44"	1		2								
4240	SOM	"25,45"	1		4				23				
4241	SOM	"25,46"					1						
4243	SOM	"25,48"									14		
4244	SOM	"25,49"	1		13				17		155		16
4245	SOM	"25,50"	1		5						115		
4246	SOM	"25,51"	2		4				6		150		45
4248	SOM	"25,53"			5						71		
4249	SOM	"25,54"	1		8				20		100		
4250	SOM	"25,55"	3		17				60		300		
4251	SOM	"25,56"					1		15		50		
4254	SOM	"26,2"			36				44		190		
4255	SOM	"26,3"	2		12				16		100		
4256	SOM	"26,4"	1		3				7		68		15
4257	SOM	"26,5"	1		5				17				25
4258	SOM	"26,6"			3				5		32		
4260	SOM	"26,8"	1		7				7		47		
4262	SOM	"27,1"	3		29				10		250		
4263	SOM	"27,2"	1		13				7		150		18
4264	SOM	"27,3"			16				2		92		
4266	SOM	"28,1"	2		7				28		65		
4267	SOM	"28,2"	1		22				28		3		
4269	SOM	"29,1"			1				5		43		25
4271	SOM	"30,1"			6						60		30
4272	SOM	"30,2"			20						100									
4274	SOM	"31,1"			6				20		40									
4275	SOM	"31,2"							4											
3712	SOM	"1,35"	1																	
3714	SOM	"2,1"	8		30				24		100									
3723	SOM	"2,10"	1						20				36							
3724	SOM	"2,11"			25				16		350									
3725	SOM	"2,12"	1		20				24		60									
3727	SOM	"3,1"			7				9		117									
3728	SOM	"3,2"			3				8		100		20							
3730	SOM	"4,1"	2		6				20		100		25							
3732	SOM	"5,1"			4				7		32									
3733	SOM	"5,2"			8				24		65									
3734	SOM	"5,3"			10				20		143									
3735	SOM	"5,4"					5		20		65		68						20	mares
3736	SOM	"5,5"							6		60									
3737	SOM	"5,6"			5						40		30
3739	SOM	"5,8"	1		3				10		40		30
3740	SOM	"5,9"	1		3				12		46		20
3742	SOM	"5,11"			10				12		200		
3743	SOM	"5,12"					8				40		
3926	SOM	"17,5"							15		80		
3927	SOM	"17,6"			10				13		47		10
3928	SOM	"17,7"			12				12				
3929	SOM	"17,8"					2				140		
3931	SOM	"18,1"			8				6		60		
3932	SOM	"18,2"			3				4		100		
3934	SOM	"18,4"			8				5				
3936	SOM	"19,1"			14				14		124		24
3937	SOM	"19,2"					4		9		116		
3938	SOM	"19,3"			14						42		
3939	SOM	"19,4"	1		7				16		59		13
3940	SOM	"19,5"	1		4				7		64		
3941	SOM	"19,6"			3				3		61		
3942	SOM	"19,7"			26				26		70		28
3943	SOM	"19,8"	6		27				15		90		60
3944	SOM	"19,9"	2				5		30		94		
3945	SOM	"19,10"							38		61		
3946	SOM	"19,11"			2						20		
3947	SOM	"19,12"							11		83		
3948	SOM	"19,13"	2		12				10		40		
3949	SOM	"19,14"					6						
3950	SOM	"19,15"	1		7				8		75		
3951	SOM	"19,16"			10				2		60		20
3953	SOM	"19,18"			2				70				20
3955	SOM	"19,20"			7				10		80		60
3956	SOM	"19,21"			12				7		40		
3959	SOM	"19,24"	1		9						70		30
3960	SOM	"19,25"	2		16				10				
3961	SOM	"19,26"	1		10						50		100
3962	SOM	"19,27"	1		14				3				7
3963	SOM	"19,28"			8				4		21		20
3964	SOM	"19,29"	2		16						112		58
3965	SOM	"19,30"	1		3				12		60		
3966	SOM	"19,31"			8				7		130		
3967	SOM	"19,32"	1		10				15		35		
3968	SOM	"19,33"			6				11		45		
3969	SOM	"19,34"			5				11		22		
3970	SOM	"19,35"			6				7		27		
3972	SOM	"19,37"			4				1				10
3973	SOM	"19,38"	1		3				15		30		
3974	SOM	"19,39"	2		8				14		40		
3975	SOM	"19,40"	1						5				
3976	SOM	"19,41"	2						7		50		
3978	SOM	"19,43"	1		5				30		60		
3979	SOM	"19,44"	1		14						122		
3980	SOM	"19,45"			2				10		120		
3981	SOM	"19,46"							36		126		
3982	SOM	"19,47"	2		10				4		29		
3983	SOM	"19,48"							6				
3984	SOM	"19,49"	2		4				20		67		
3985	SOM	"19,50"	1		10				17		40		
3986	SOM	"19,51"	2		12				35		250		
3987	SOM	"19,52"	1		9				23		100		100
3988	SOM	"19,53"	2		10				50		150		30
4158	SOM	"24,1"	1		24				18		60		
4160	SOM	"24,3"			8				14		32		
4161	SOM	"24,4"			8				43		31		
4164	SOM	"24,7"			3				3				
4165	SOM	"24,8"			15				21				
4166	SOM	"24,9"			18				5				
4167	SOM	"24,10"			10				18		34		
4168	SOM	"24,11"			4				13				
4169	SOM	"24,12"			13								
4170	SOM	"24,13"	1		16				14		45		
4171	SOM	"24,14"			23				7				
4172	SOM	"24,15"			10				11		37		23
4173	SOM	"24,16"	1		14				15		32		
4174	SOM	"24,17"	2		16				20		117		
4175	SOM	"24,18"			16				19		72		
4176	SOM	"24,19"	1		9				11		60		
4177	SOM	"24,20"			10				24		73		
4178	SOM	"24,21"			13				7		61		
4179	SOM	"24,22"	1		18				20		30		17
4180	SOM	"24,23"	1		7				20				
4182	SOM	"24,25"	1		10				20		50		
4183	SOM	"24,26"			8				10		20		
4184	SOM	"24,27"	1		11				13		100		
4185	SOM	"24,28"			8				20		28		
4186	SOM	"24,29"			10				4		53		
4187	SOM	"24,30"			2				2		120		70
4188	SOM	"24,31"			2								
4190	SOM	"24,33"			10				19		45		
4191	SOM	"24,34"			12				18		80		
4192	SOM	"24,35"			5				10				
4196	SOM	"25,1"	3		5				15		74		
4198	SOM	"25,3"			3				1				
4199	SOM	"25,4"	1										
4200	SOM	"25,5"	1		6						24		
4202	SOM	"25,7"	1		8				5		107		12
4203	SOM	"25,8"	1		8				20		100		30
4204	SOM	"25,9"	2		5				3		300		47
4205	SOM	"25,10"	1		16				10		300									
4206	SOM	"25,11"	1		5						200									
4207	SOM	"25,12"	2		15				23		200		44							
4208	SOM	"25,13"			8				3		75		34							
4209	SOM	"25,14"			15								20						42	wethers
