struct_idx	county	phillimore	head_of_manor	geld	g_code	vill_tax	taxed_on	lords_geld	new_land	ploughlands	p_code	lords_ploughs	mens_ploughs	total_ploughs	lords_ploughs_possible	mens_ploughs_possible	total_ploughs_possible	villagers	smallholders	slaves	female_slaves	freemen	free_men	priests	cottagers	other_pop	misc_pop	misc_pop_categories	burgesses	mills	mill_value	meadow	meadow_units	pasture	pasture_units	woodland	woodland_units	fisheries	salthouses	payments	payments_units	churches	church_land	value_86	value_66	value_qr	values	render	waste	waste_66	waste_qr	waste_86	duplicates	subholdings	notes
61	KEN	P1	-		adjusted						no ploughlands	0	1	1				4	9	0	0	0	0	0	0	0	0	-	0				-		-		just woodland			1.1	rent						assessed elsewhere		none	N	N	N	-	-	"Shared statistics: P1-P5; value and woodland recorded in P5. Geld: 1 sulung and 16 acres but total liability of Canons was 24 sulungs (M1 and P16) so this assessment is recorded elsewhere and adjusted accordingly. Payments: villagers, 22s."
62	KEN	P2	-	1	unchanged		1				no ploughlands	0	2	2				9	0	0	0	0	0	0	0	0	0	-	0				-		-		just woodland			0.83	rent						assessed elsewhere		none	N	N	N	G	-	"Shared statistics: P1-P5; value is recorded in P5. Duplicates: geld duplicated in M1. Payments: villagers, 16s 8d."
63	KEN	P3	-	1	unchanged		1				no ploughlands	0	2.5	2.5				7	7	0	0	0	0	0	0	0	0	-	0				just meadow		-		just woodland			0.83	"meadow,  pasture, woodland"						assessed elsewhere		none	N	N	N	G	-	"Shared statistics: P1-P5, value and woodland recorded in P5. Duplicates: geld duplicated in M1. Payments: meadow, 16s 8d."
64	KEN	P4	-	1	unchanged		1				no ploughlands	0	7.5	7.5				13	12	0	0	0	0	0	0	0	0	-	0				-		-		just woodland			1.42	rent						assessed elsewhere		none	N	N	N	G	-	"Shared statistics: P1-P5: value and woodland recorded in P5. Duplicates: geld duplicated in M1. Payments: villagers, 20s less 2d."
65	KEN	P5	-		no units						no ploughlands	0	0.5	0.5				2	3	0	0	0	0	0	0	0	0	-	0				-		-		just woodland			0.2	rent			10	10		tre;now		none	N	N	N	-	-	"Shared statistics: P1-P5; value and woodland recorded here. Geld: a small piece of land. Payments: villagers, 50d."
66	KEN	P6	-		no units						no ploughlands	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-			1.02	rent						assessed elsewhere		none	N	N	N	-	-	"Payments: alms, 20s 6d."
67	KEN	P7	-		no units						no ploughlands	0	0.5	0.5				0	7	0	0	0	0	0	0	0	0	-	0				-		-		-			3	customary						assessed elsewhere		none	N	N	N	-	-	"Payments: the Canons' footwear, 60s."
68	KEN	P8	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	1	countrymen	0				-		-		-			8	rent						assessed elsewhere		none	N	N	N	-	-	"Payments: rent, £8."
69	KEN	P9	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-			22	miscellaneous						assessed elsewhere		none	N	N	N	-	-	"Payments: Dover tolls, £8 before 1066, now £22."
70	KEN	P10	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-			1.83	miscellaneous	3					assessed elsewhere		none	N	N	N	-	-	"Payments: 3 churches, 36s 8d."
71	KEN	P11	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-			0.46	"meadow,  pasture, woodland"						assessed elsewhere		none	N	N	N	-	-	"Payments: pasture and gardens, 9s 4d."
72	KEN	P12	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-			0.06	"meadow,  pasture, woodland"						assessed elsewhere		none	N	N	N	-	-	"Payments: pasture, 16d."
73	KEN	P13	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	8	men	0	10.5	7		-		-		-				-						assessed elsewhere	12	none	N	N	N	P	-	"Values: from mills, £7. Values: payments recorded as valuation. Duplicates: 4 mills possibly duplicated in P19."
74	KEN	P14	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-			0.1	"meadow,  pasture, woodland"						assessed elsewhere		none	N	N	N	-	-	"Payments: pasture, 2s."
75	KEN	P15	-		no units						no ploughlands	0	1.5	1.5				0	0	0	0	0	0	0	0	0	6	men	0				-		-		-			2.75	rent						-		none	N	N	N	-	-	"Values: from this community the archbishop has 55s annually, recorded as a payment though an outgoing sum."
76	KEN	P16	-		adjusted						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-				-						-		none	N	N	N	-	-	"Geld: 450 acres, which make 2.5 sulungs; but total liability of Canons was 24 sulungs (M1 and P16) so this assessment is recorded elsewhere and adjusted accordingly."
77	KEN	P17	-		adjusted						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-				-						-		none	N	N	N	-	-	Geld: 100 acres which meet their tax where they did before 1066; but total liability of Canons was 24 sulungs (M1 and P16) so this assessment is recorded elsewhere and adjusted accordingly.
78	KEN	P18	-		adjusted						no ploughlands	0	1.5	1.5				3	9	0	0	0	0	0	0	0	0	-	0				-		-		-				-			47.31	60	60	tre;qr;now		none	N	N	N	-	-	"Geld: 150 acres; but these are additional to 24 total (M1 and P16), assumed to be recorded elsewhere. Values: 'all these' assumed to refer to P6-20; £60 assumed to be both 1066 and intermediate dates."
79	KEN	P19	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0	4			just meadow		-		-	1	1		-						assessed elsewhere		none	N	N	N	P	-	"Duplicates: 4 mills possibly duplicated in P13. Payments: meadow, mills, fishery and salt-house taken away but not apparently recorded elsewhere."
80	KEN	P20	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-				-						assessed elsewhere		none	N	N	N	-	-	
84	KEN	"1,1"	-	1.5	unchanged		1.5			40	land for	2	53	55				142	10	3	0	0	0	0	0	0	1	reeves	0	1		22	acres	40	acres	11	pig pastures				-	4		63	60	60	tre;qr;now	87.66	none	N	N	N	G	-	"Duplicates: Hawley, duplicated in 5,1, not included here. Values: £90 according to the reeve who pays in a mixture of bullion, ora and coin."
85	KEN	"1,2"	-	1	unchanged		1			15	land for	3	15	18				40	5	8	0	0	0	0	0	0	0	-	0	1	0.16	43	acres		-	70	swine render				-			30.86	15	15	tre;qr;now	31	none	N	N	N	-	-	Values: values of tenant holdings (£10.867) assumed to be additional and to account for difference between value and Render.
1	KEN	D1	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-				-				18		tre		none	N	N	N	-	-	"Values: £18, King Edward had two parts, Earl Godwin the third and Canons the other half."
2	KEN	D2	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	420	men	0				-		-		-				-						-		none	N	N	N	-	-	
7	KEN	D7	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-				-			40			now	54	qr waste	N	Y	N	-	-	Values: town burnt in 1066 so its value (1066 and later) could not be reckoned; division between king and bishop only given for Render.
10	KEN	D10	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0	1			-		-		-				-						-		none	N	N	N	P	-	"Duplicates: mill probably duplicated in 5,188."
27	KEN	M1	-	0.16	adjusted		0.16				-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-				-						assessed elsewhere		none	N	N	N	G	-	"Geld: on the equations employed here, M2-24 total 20.833 hides, 0.167 being the balance of 21 hides; the 3 sulungs in Lympne are recorded in P2-4. Values: £61 before 1066 but details in M2-24 total £89. Duplicates: details duplicated in entries."
28	KEN	M2	-	1	unchanged		1				no ploughlands	0	1	1				3	4	0	0	0	0	0	0	0	0	-	0				-		-		-				-			3.5	5		tre;now		none	N	N	N	G	-	Duplicates: geld duplicated in M1.
29	KEN	M3	-	1	unchanged		1				no ploughlands	1	0.5	1.5				1	7	0	0	0	0	0	0	0	1	Frenchmen	0	1	2		-		-		-			0.55	miscellaneous	1		6	12		tre;now		none	N	N	N	G	-	"Duplicates: geld duplicated in M1. Payments: monastery, 11s."
30	KEN	M4	-	1	unchanged		1				no ploughlands	0	1.5	1.5				6	10	0	0	0	0	0	0	0	0	-	0				-		-		-				-			4	5		tre;now		none	N	N	N	G	-	Duplicates: geld duplicated in M1.
31	KEN	M5	-	0.45	unchanged		0.45				no ploughlands	0	1.5	1.5				2	6	0	0	0	0	0	0	0	0	-	0				-		-		-				-			1	0.5		tre;now		none	N	N	N	G	-	"Duplicates: geld duplicated in M1. Geld: 1 yoke, 25 acres."
32	KEN	M6	-	1	unchanged		1				no ploughlands	1	0	1				0	6	4	0	0	0	0	0	0	0	-	0				-		-		-				-			5	4		tre;now		none	N	N	N	G	-	Duplicates: geld duplicated in M1.
